  2.11591   7.73267  -8.98842  -5.57574   0.70507   9.17415   1.80678  -8.89939   7.95537 0.0397327   8.71972   7.88113  -6.16271  -5.03111  -7.70401  0.935777
 -8.30998 -0.766449  -3.02876   9.06575   9.44148  -1.01879   1.45424  -4.71118   8.78165   -5.1728 -0.854055  0.893543   2.63933  -6.25752  -2.04171  0.935777
 9.95173  9.52131 -8.14102 -2.32072 -3.16827  2.49236 -4.47437  6.09866 -1.55915 -9.82587 -4.66656  6.54262 -1.18779  1.94192  9.66266 0.935777
 -7.31328   1.47137 0.0105345   4.93303   7.26201  -1.66473   7.31782   6.86086   8.83354   -3.5953   2.38873  -7.78196  -2.42551  -3.67827  -6.08967  0.935777
 4.76976 -2.81186 0.738884  7.71999 -1.63064  5.69641  3.45924 -5.87916 -1.98921  9.98902 -2.03987  9.74681  8.99993 -1.59029  1.32526 0.935777
  3.10068  -6.08163  -8.00673 0.0780504   4.97945   7.16386    1.9838  0.176049    9.4835   1.82336   7.89062  -8.96286  -7.33554  -7.32498  -1.63954  0.935777
 0.274349   7.96437  -2.42976   9.47625  -8.99626   5.39712   1.11371   5.70938 -0.286809  -2.24405   6.96561   9.82986  -3.31181   8.82692  -4.64631  0.935777
 2.65924 0.358548  7.08866  -5.6184   6.7207  9.36402 -9.38524  5.25411  -7.4047  8.21674 -2.80832 -5.20094  3.42691 -4.39137 0.643884 0.935777
-7.65705 -2.44655 -7.47454  3.96553  3.82198   8.5128  -8.9599 -8.89341  5.40965  3.25033  5.09507 -6.58655 -1.49341  9.98384 -6.44215 0.935777
  6.53967   3.73699 -0.132491 -0.928163  -3.60757  -2.11229  -3.93764   4.00836   7.97014   3.39123   -5.5835 -0.087256   3.43171  -5.24697   5.84219  0.935777
 9.43825 -7.06615  4.09771 -3.02282 -4.41246  2.63292 -6.71484   9.6246  1.47801 -8.59375  7.32555  4.50406 -5.87399 -4.52788 -9.87375 0.935777
  9.92384  -1.50033   -8.1264   7.18433   3.79009   4.34268 -0.989386 -0.771327  0.499924   1.88147  -1.87942   1.28096  -8.33884   4.80871  -1.83595   9.76435
